"name"
"Wesley Ruggles"
"Josef von Sternberg"
"Frank Borzage"
"Frank Capra"
"George Cukor"
"Victor Schertzinger"
"W. S. Van Dyke"
"John Ford"
"Henry Hathaway"
"Gregory La Cava"
"William Wyler"
"Leo McCarey"
"William Dieterle"
"Sidney Franklin"
"William A. Wellman"
"Michael Curtiz"
"Victor Fleming"
"Sam Wood"
"Alfred Hitchcock"
"Alexander Hall"
"Howard Hawks"
"Orson Welles"
"John Farrow"
"Mervyn LeRoy"
"Henry King"
"George Stevens"
"Otto Preminger"
"Billy Wilder"
"Jean Renoir"
"David Lean"
"Robert Siodmak"
"Elia Kazan"
"Edward Dmytryk"
"Henry Koster"
"John Huston"
"Anatole Litvak"
"Jean Negulesco"
"Laurence Olivier"
"Fred Zinnemann"
"Joseph L. Mankiewicz"
"Carol Reed"
"Robert Rossen"
"Vincente Minnelli"
"Cecil B. DeMille"
"Charles Walters"
"George Seaton"
"Delbert Mann"
"Joshua Logan"
"John Sturges"
"Michael Anderson"
"Walter Lang"
"Sidney Lumet"
"Mark Robson"
"Richard Brooks"
"Stanley Kramer"
"Robert Wise"
"Jack Clayton"
"Jack Cardiff"
"Jules Dassin"
"Jerome Robbins & Robert Wise"
"Federico Fellini"
"J. Lee Thompson"
"Pietro Germi"
"Robert Mulligan"
"Arthur Penn"
"Frank Perry"
"Tony Richardson"
"Martin Ritt"
"Michael Cacoyannis"
"Peter Glenville"
"Stanley Kubrick"
"Robert Stevenson"
"John Schlesinger"
"Hiroshi Teshigahara"
"Michelangelo Antonioni"
"Claude Lelouch"
"Mike Nichols"
"Norman Jewison"
"Anthony Harvey"
"Gillo Pontecorvo"
"Franco Zeffirelli"
"Costa-Gavras"
"George Roy Hill"
"Sydney Pollack"
"Franklin J. Schaffner"
"Robert Altman"
"Arthur Hiller"
"Ken Russell"
"William Friedkin"
"Peter Bogdanovich"
"Bob Fosse"
"John Boorman"
"Francis Ford Coppola"
"Jan Troell"
"Ingmar Bergman"
"Bernardo Bertolucci"
"George Lucas"
"John Cassavetes"
"Roman Polanski"
"François Truffaut"
"Miloš Forman"
"John G. Avildsen"
"Alan J. Pakula"
"Lina Wertmüller"
"Woody Allen"
"Herbert Ross"
"Steven Spielberg"
"Michael Cimino"
"Hal Ashby"
"Warren Beatty & Buck Henry"
"Alan Parker"
"Robert Benton"
"Édouard Molinaro"
"Peter Yates"
"Robert Redford"
"David Lynch"
"Richard Rush"
"Martin Scorsese"
"Warren Beatty"
"Hugh Hudson"
"Louis Malle"
"Mark Rydell"
"Richard Attenborough"
"Wolfgang Petersen"
"James L. Brooks"
"Bruce Beresford"
"Roland Joffé"
"Héctor Babenco"
"Akira Kurosawa"
"Peter Weir"
"Oliver Stone"
"James Ivory"
"Lasse Hallström"
"Adrian Lyne"
"Barry Levinson"
"Charles Crichton"
"Kenneth Branagh"
"Jim Sheridan"
"Kevin Costner"
"Stephen Frears"
"Barbet Schroeder"
"Jonathan Demme"
"Ridley Scott"
"John Singleton"
"Clint Eastwood"
"Martin Brest"
"Neil Jordan"
"Jane Campion"
"Robert Zemeckis"
"Krzysztof Kieślowski"
"Quentin Tarantino"
"Mel Gibson"
"Mike Figgis"
"Chris Noonan"
"Michael Radford"
